,Suburb,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population
166,CANTERBURY,7136,7146,7150,7173,7212,7250,7298,7359,7412,7429,7441,7468,7512,7544,7588,7661,7656,7662,7642,7501,7198
167,MONT ALBERT,9243,9271,9414,9466,9522,9643,9832,10014,10150,10207,10145,10164,10228,10288,10356,10456,10559,10657,10743,10660,10262
168,SURREY HILLS,8815,8828,8833,8861,8909,8955,9015,9091,9157,9178,9191,9226,9279,9319,9374,9464,9457,9466,9441,9267,8891
169,BOX HILL,12700,12787,12850,12963,13245,13546,13987,14318,14771,14979,14997,15373,15761,16130,16584,17134,17880,18652,19256,19816,19101
173,BLACKBURN,15708,15712,15704,15706,15779,15867,16045,16427,16701,16831,16950,17184,17452,17663,17948,18310,18558,18668,18818,18895,18367
176,FOREST HILL,9976,9965,9963,9973,9976,10010,10124,10180,10321,10370,10430,10483,10636,10772,10874,11074,11192,11251,11193,11151,10866
177,NUNAWADING,10693,10639,10526,10478,10466,10553,10846,10985,11200,11276,11382,11576,11742,11867,12089,12363,12623,12778,12829,12846,12522
178,MITCHAM,14232,14378,14524,14635,14734,14852,14976,15102,15208,15265,15346,15804,16205,16482,16686,16859,17077,17220,17268,17318,16935
179,VERMONT,9544,9538,9522,9533,9561,9705,9860,9988,10147,10214,10261,10392,10517,10619,10750,10896,11021,11137,11251,11324,11083
181,RINGWOOD,15380,15350,15330,15247,15211,15222,15411,15701,16175,16410,16594,16882,17152,17410,17654,17931,18293,18490,18857,19132,18919
192,LILYDALE,16176,16472,16656,16719,16904,17169,17445,17889,18306,18454,18517,18668,18778,18925,19212,19448,19646,19806,19891,19923,19783
193,SOUTH YARRA,12922,13441,13626,13831,14110,14406,14572,14860,15292,15566,15778,17116,18062,19382,20587,22350,23147,23826,24054,23503,21581
194,TOORAK,13318,13367,13455,13563,13672,13765,13861,13956,13979,13939,13768,13795,13841,13878,13939,14036,13958,13947,13903,13627,13098
195,ARMADALE,8632,8683,8724,8770,8783,8863,8990,9148,9260,9318,9301,9308,9338,9387,9485,9619,9632,9899,10036,10063,9436
197,MALVERN,3571,3579,3610,3638,3656,3685,3715,3803,3876,3900,3909,3955,3995,4028,4049,4076,4090,4118,4159,4132,3948
199,MALVERN EAST,19439,19584,19681,19904,20004,20308,20608,20848,20964,20975,20989,21271,21540,21868,22174,22575,22779,22973,23087,23062,22221
200,GLEN IRIS,14507,14543,14666,14782,14852,14973,15095,15451,15747,15846,15881,16069,16233,16365,16452,16561,16619,16732,16898,16788,16040
201,ASHBURTON,7022,7084,7138,7189,7266,7286,7477,7618,7733,7834,7875,7912,7948,7970,8018,8104,8175,8245,8292,8301,8025
203,CHADSTONE,9001,9091,9130,9207,9461,9690,9909,10049,10278,10339,10538,10875,11173,11443,11690,11984,12262,12392,12565,12601,12283
204,MOUNT WAVERLEY,16422,16441,16436,16493,16551,16737,16962,17350,17792,17921,17889,18145,18407,18698,18940,19291,19585,19899,20069,20037,19475
205,GLEN WAVERLEY,21261,21164,21112,21064,21086,21180,21242,21294,21481,21499,21561,21689,21813,21922,22020,22153,22374,22559,22699,22667,21899
207,BURWOOD EAST,10180,10140,10145,10165,10183,10239,10312,10408,10525,10572,10614,10636,10667,10685,10713,10772,10836,10892,10965,11041,10778
208,WANTIRNA,14733,14707,14561,14524,14383,14361,14383,14329,14334,14339,14320,14326,14338,14355,14376,14425,14534,14678,14765,14849,14450
210,BAYSWATER,10728,10746,10792,10831,10867,10973,11124,11213,11361,11458,11635,11807,11995,12219,12415,12584,12690,12808,12934,12973,12707
218,CAULFIELD,7245,7275,7328,7435,7536,7650,7692,7812,7923,7960,7983,8077,8172,8304,8413,8523,8596,8679,8706,8661,8448
220,CARNEGIE,14982,15086,15136,15257,15477,15659,16003,16289,16742,16915,17047,17367,17775,18192,18645,19091,19281,19541,19673,19659,18803
222,MURRUMBEENA,8004,8083,8117,8262,8387,8548,8744,8896,8977,8990,8983,9143,9283,9458,9640,9809,9891,9891,9870,9761,9471
225,HUGHESDALE,6382,6382,6440,6569,6636,6764,7045,7253,7465,7485,7384,7528,7648,7748,7882,8038,8053,7991,7920,7948,7644
227,OAKLEIGH,7487,7495,7518,7567,7625,7709,7821,7986,8141,8236,8308,8392,8476,8580,8696,8850,8994,9096,9216,9269,9099
230,CLAYTON,12749,13170,13655,13833,14268,14724,14983,15077,15479,15745,16744,17629,18488,19227,20158,21198,22062,22730,22928,23105,20142
234,MULGRAVE,16951,16788,16633,16648,16747,16866,17227,17641,18028,18296,18517,18977,19466,19874,20181,20462,20517,20609,20667,20675,20078
235,SPRINGVALE,18557,18581,18603,18641,18716,19033,19245,19586,19969,20353,20712,20940,21132,21505,22188,22761,23210,23540,23763,23636,22537
241,DANDENONG,22152,22280,22302,22338,22590,22852,23821,24822,25475,26161,26949,28092,29344,30461,31368,32145,32526,32729,32782,32321,30798
242,DANDENONG NORTH,23088,22990,22860,22832,22815,22847,22875,22965,23010,22983,22949,23056,23178,23302,23449,23684,23824,23914,23953,23627,22839
245,ROWVILLE,16110,16095,16120,16096,16017,15980,15873,15955,15991,15998,15839,15832,15837,15839,15835,15864,15887,15883,15869,15804,15540
246,SCORESBY,4965,4942,4917,4903,4899,4913,4936,4972,5020,5038,5051,5196,5338,5491,5677,5907,6077,6215,6339,6372,6274
248,PRAHRAN,12792,12897,12971,13200,13386,13568,13820,14111,14330,14417,14450,14961,15405,15794,16066,16406,16475,16407,16257,16064,15007
249,WINDSOR,3795,3826,3848,3916,3971,4025,4100,4187,4252,4277,4287,4439,4571,4686,4767,4868,4888,4868,4823,4766,4452
250,ST KILDA,19808,20203,20680,21061,21537,21990,22471,22918,23451,23798,24091,25233,26027,26760,27349,28166,28686,29228,29429,29011,26204
252,ELWOOD,13342,13500,13683,13934,14216,14477,14790,15076,15425,15552,15666,15807,15910,16063,16145,16382,16383,16259,16191,15910,15041
253,ELSTERNWICK,9427,9457,9496,9567,9598,9726,9918,10057,10210,10282,10295,10350,10463,10655,10781,11041,11156,11313,11400,11391,10970
256,BRIGHTON,21029,21084,21141,21190,21244,21360,21669,21940,22264,22441,22526,22651,22989,23467,23933,24353,24484,24530,24443,24110,23053
257,BRIGHTON EAST,14355,14585,14782,14876,15011,15265,15460,15739,15958,16060,16087,16216,16372,16473,16585,16718,16792,16903,16978,16989,16695
258,HAMPTON,11605,11646,11712,11757,11822,11997,12158,12340,12529,12651,12816,12917,13033,13153,13284,13476,13560,13616,13681,13738,13328
263,CHELTENHAM,19727,19689,19669,19731,19817,19969,20271,20425,20898,21083,21192,21556,22048,22533,22962,23449,23748,24220,24496,24775,24355
264,BEAUMARIS,12763,12768,12729,12715,12721,12767,12877,13123,13264,13351,13375,13472,13631,13831,13995,14250,14269,14423,14391,14343,14124
266,MENTONE,11561,11506,11474,11514,11524,11571,11682,11728,11936,12046,12224,12573,12768,13031,13332,13695,13778,13802,13870,13838,13304
267,ASPENDALE,7724,7723,7720,7742,7751,7779,7868,7989,8148,8243,8325,8430,8522,8604,8768,8917,8954,9076,9203,9169,9108
269,MORDIALLOC,7774,7990,8192,8313,8470,8631,8793,8969,9189,9255,9260,9443,9560,9674,9790,9985,10034,10162,10329,10358,10204
270,PARKDALE,8551,8790,9012,9145,9317,9494,9672,9866,10107,10181,10187,10388,10516,10641,10769,10983,11037,11178,11362,11393,11224
272,CHELSEA,4639,4673,4701,4703,4739,4788,4907,5032,5212,5310,5376,5472,5565,5636,5758,5933,6019,6078,6120,6161,6125
274,CARRUM,5873,6034,6108,6137,6176,6208,6297,6504,6641,6685,6665,6672,6710,6768,6830,6920,6979,7041,7040,7001,6922
276,SEAFORD,16257,16136,16001,15922,15840,15892,16013,16201,16408,16516,16574,16719,16866,16980,17046,17151,17235,17315,17389,17417,17359
277,FRANKSTON,22188,22001,21847,21628,21540,21540,21697,21951,22103,22239,22301,22417,22620,22850,23135,23510,23727,23973,24104,24230,23908
280,CARRUM DOWNS,15419,15889,16346,16815,17122,17550,17898,18342,19058,19499,19682,20036,20584,20975,21291,21549,21813,22027,22172,22358,22262
282,BENTLEIGH,12292,12413,12594,12777,12927,13144,13386,13656,13919,14052,14137,14419,14658,14856,15003,15190,15546,15831,16198,16366,16231
285,SOUTH MELBOURNE,2645,2720,2798,2907,2956,3014,3090,3140,3208,3225,3224,3408,3573,3713,3800,3874,3939,4018,4079,4077,3824
286,ALBERT PARK,8730,8890,9035,9174,9366,9564,9692,9831,10055,10302,10594,10688,10787,11006,11331,11640,11643,11802,12050,11959,11310
287,MIDDLE PARK,3637,3704,3764,3822,3902,3985,4038,4096,4189,4292,4414,4453,4494,4585,4721,4850,4851,4917,5020,4982,4712
288,PORT MELBOURNE,9,9,9,9,9,9,10,11,13,14,15,17,19,21,23,25,182,535,881,1268,1472
289,LARA,11767,12298,12603,12791,12975,13215,13390,13590,13754,13952,14274,14856,15370,15791,16196,16728,17226,17783,18232,18486,18765
292,CORIO,14324,14291,14225,14116,13957,13912,13988,14071,14155,14262,14337,14367,14417,14463,14519,14640,14791,14874,14945,14960,14840
299,NORTH GEELONG,2715,2733,2742,2751,2760,2766,2783,2809,2839,2872,2897,2895,2899,2911,2942,3008,3059,3094,3166,3164,3147
301,BELMONT,14160,14015,13901,13790,13683,13631,13630,13666,13705,13805,13910,13968,14012,14086,14175,14312,14591,14741,14956,15070,14994
302,GROVEDALE,9060,9414,9742,10086,10541,10955,11323,11686,11998,12307,12585,12727,12988,13280,13877,14868,16173,17570,18881,20408,21944
310,GEELONG WEST,10532,10562,10555,10491,10435,10458,10498,10600,10704,10791,10878,10939,11008,11071,11166,11316,11428,11581,11745,11930,12007
311,HERNE HILL,3240,3249,3247,3228,3210,3218,3230,3261,3293,3320,3347,3365,3387,3406,3435,3481,3516,3563,3614,3670,3694
316,GEELONG,7848,7855,7875,7899,7903,7883,7936,7984,8041,8110,8163,8247,8340,8433,8513,8593,8673,8755,8818,8852,8856
317,NEWTOWN,9774,9769,9787,9800,9807,9827,9857,9885,9913,9968,10030,10073,10205,10273,10368,10483,10551,10598,10612,10539,10406
328,BARWON HEADS,4456,4603,4666,4728,4779,4804,4911,5018,5127,5242,5383,5563,5797,6124,6499,6907,7274,7640,8028,8404,8770
332,TORQUAY,8861,9208,9405,9583,9786,10190,10809,11458,12142,12777,13430,14158,14738,15288,15916,16580,17361,18175,19167,20192,21334
352,HAMILTON,10266,10300,10326,10353,10375,10334,10386,10388,10378,10344,10225,10186,10143,10106,10080,10081,10122,10178,10243,10332,10284
355,PORTLAND,9769,9769,9770,9774,9789,9821,9818,9829,9829,9869,9903,9914,9924,9929,9926,9948,9992,10052,10125,10165,10165
367,MELTON,8826,8907,9030,9143,9271,9512,9853,10171,10582,11070,11404,11616,11729,11851,12026,12225,12356,12496,12653,12633,12320
381,ALFREDTON,4254,4502,4651,4789,4913,4997,5199,5374,5627,5834,6247,6696,7179,7641,8159,8760,9341,9993,10649,11435,12434
401,WENDOUREE,13355,13255,13161,13095,13028,12963,13033,13334,13718,14104,14473,14625,14707,14746,14779,14826,14933,15056,15160,15242,15314
402,DELACOMBE,1557,1584,1639,1674,1764,1890,1952,2005,2083,2137,2189,2257,2350,2468,2567,2698,2856,3065,3328,3651,3990
403,SEBASTOPOL,7992,7978,7985,7948,7991,8035,8182,8401,8585,8869,9075,9172,9272,9410,9507,9647,9775,9886,9941,9937,9887
404,BUNINYONG,2660,2699,2778,2810,2928,3018,3065,3126,3215,3297,3362,3427,3492,3541,3595,3655,3703,3706,3726,3684,3616
414,HORSHAM,14767,14767,14766,14858,14979,15226,15386,15554,15748,15918,16099,16170,16245,16307,16363,16462,16551,16615,16733,16913,16944
419,SUNBURY,16012,16248,16708,17098,17389,17821,18116,18562,19101,19474,19744,20068,20333,20734,21200,21918,22439,23036,23928,24689,25062
427,CASTLEMAINE,4679,4716,4785,4796,4801,4813,4845,4873,4897,4930,4960,5003,5067,5154,5272,5385,5441,5502,5565,5628,5642
447,BENDIGO,11384,11406,11331,11143,10993,10911,10875,10824,10808,10800,10843,10840,10824,10809,10801,10813,10862,10928,11022,11028,10946
449,FLORA HILL,2646,2677,2708,2730,2739,2751,2755,2763,2780,2793,2788,2802,2818,2833,2838,2847,2850,2855,2861,2868,2826
