,Suburb,Schools
549,Healesville,3
550,Heathcote,1
551,Heathmont,4
552,Heidelberg,2
553,Hepburn,1
554,Hesket,1
555,Heyfield,1
556,Heywood,2
557,Highton,3
558,Hillside,1
559,Hoddles Creek,1
560,Hopetoun,1
561,Hoppers Crossing,8
562,Horsham,4
563,Hughesdale,1
564,Huntly,1
565,Hurstbridge,1
566,INGLEWOOD,1
567,IRYMPLE,2
568,IVANHOE,3
569,IVANHOE WEST,1
570,Indigo Valley,1
571,Inglewood,1
572,Inverleigh,1
573,Inverloch,1
574,Invermay,1
575,Irymple,3
576,Ivanhoe,1
577,Ivanhoe East,1
578,Jacana,1
579,Jamieson,1
580,Jeparit,1
581,Jindivick,1
582,KANGAROO FLAT,1
583,KEALBA,1
584,KEILOR,2
585,KEILOR DOWNS,1
586,KEILOR EAST,2
587,KEILOR NORTH,1
588,KENNINGTON,1
589,KENSINGTON,1
590,KERANG,2
591,KEW,10
592,KEW EAST,1
593,KEYSBOROUGH,5
594,KIALLA,1
595,KILMORE,3
596,KILSYTH,2
597,KINGS PARK,2
598,KINGSBURY,1
599,KINGSVILLE,1
600,KOO WEE RUP,1
601,KOONWARRA,1
602,KOROIT,1
603,KORUMBURRA,1
604,KYABRAM,1
605,KYNETON,2
606,Kalkallo,1
607,Kallista,1
608,Kangaroo Flat,3
609,Kangaroo Ground,1
610,Kaniva,1
611,Katamatite,1
612,Katandra West,1
613,Katunga,1
614,Keilor,1
615,Keilor Downs,3
616,Keilor East,2
617,Kennington,1
618,Kensington,2
619,Kerang,3
620,Kew,1
621,Kew East,2
622,Keysborough,2
623,Kialla,1
624,Kialla West,1
625,Kilmore,1
626,Kilsyth,2
627,Kinglake,1
628,Kinglake Central,1
629,Kinglake West,1
630,Kingsbury,1
631,Knoxfield,3
632,Kongwak,1
633,Koo Wee Rup,2
634,Koondrook,1
635,Koorlong,1
636,Koroit,1
637,Korumburra,2
638,Kurunjang,1
639,Kyabram,1
640,Kyneton,2
641,LAKES ENTRANCE,1
642,LALOR,1
643,LALOR WEST,1
644,LANCEFIELD,1
645,LANGWARRIN,1
646,LANGWARRIN SOUTH,2
647,LARA,1
648,LAVERTON,1
649,LENEVA,1
650,LEONGATHA,2
651,LILYDALE,4
652,LOVELY BANKS,1
653,LUCAS,1
654,LYNBROOK,1
655,Labertouche,1
656,Laharum,1
657,Lake Boga,1
658,Lake Bolac,1
659,Lake Charm,1
660,Lake Gardens,1
661,Lake Tyers Beach,1
662,Lake Wendouree,1
663,Lakes Entrance,2
664,Lal Lal,1
665,Lalor,6
666,Lancaster,1
667,Lancefield,1
668,Landsborough,1
669,Lang Lang,1
670,Langley,1
671,Langwarrin,4
672,Lara,2
673,Lara Lake,1
674,Lardner,1
675,Launching Place,1
676,Lavers Hill,1
677,Laverton,3
678,Leitchville,1
679,Lemnos,1
680,Leongatha,3
681,Leopold,1
682,Lethbridge,1
683,Lilydale,4
684,Lindenow,1
685,Lindenow South,1
686,Linton,1
687,Lismore,1
688,Little River,1
689,Loch,1
690,Loch Sport,1
691,Lockington,1
692,Lockwood,1
693,Lockwood South,1
694,Londrigan,1
695,Longford,1
696,Longwarry,1
697,Longwood,1
698,Lorne,1
699,Lower Plenty,1
700,Lower Templestowe,1
701,Lucas,1
702,Lynbrook,1
703,Lyndhurst,1
704,Lysterfield,1
705,MACEDON,1
706,MAFFRA,1
707,MAIDEN GULLY,1
708,MALVERN,2
709,MALVERN EAST,2
710,MANIFOLD HEIGHTS,1
711,MANOR LAKES,1
712,MANSFIELD,3
713,MARIBYRNONG,1
714,MARYBOROUGH,2
715,MELBOURNE,6
716,MELTON,4
717,MELTON SOUTH,3
718,MELTON WEST,2
719,MENTONE,5
720,MERBEIN,1
721,MERNDA,1
722,MICKLEHAM,2
723,MILDURA,4
724,MILL PARK,1
725,MITCHAM,1
726,MOE,1
727,MONBULK,2
728,MONTMORENCY,1
729,MOONEE PONDS,1
730,MOORABBIN,1
731,MOOROOLBARK,3
732,MOOROOPNA,1
733,MORDIALLOC,1
734,MORELAND,1
735,MORNINGTON,2
736,MORTLAKE,1
737,MORWELL,1
738,MORWELL EAST,1
739,MOUNT CLEAR,2
740,MOUNT ELIZA,1
741,MOUNT EVELYN,2
742,MOUNT WAVERLEY,2
743,MT ELIZA,2
744,MT HELEN,1
745,MT MARTHA,1
746,MT RIDLEY,1
747,MT WAVERLEY,1
