,Suburb,2021 rent,2018_income,shopping_count,population,crime_rate,num_passenger,num_station,num facilites,num hospital,num school
196,HORSHAM,290,54821.0,1.0,16944.0,0.07843945318894,0.0,0.0,30.0,1.0,3.0
198,MOE,250,56148.0,0.0,15693.0,0.06545194010655,0.0,0.0,10.0,0.0,1.0
199,NEWBOROUGH,250,56148.0,0.0,1569.0,0.06545194010655,0.0,0.0,11.0,0.0,1.0
200,MORWELL,240,50880.0,1.0,14393.0,0.10489487977913,0.0,0.0,15.0,1.0,1.0
202,BARWON HEADS,450,66856.0,0.0,8770.0,0.03008079815042,0.0,0.0,8.0,0.0,0.0
203,PORTLAND,320,57119.0,0.0,10165.0,0.06173037438971,0.0,0.0,15.0,1.0,3.0
204,SALE,320,62291.0,1.0,15259.0,0.06545194010655,0.0,0.0,19.0,1.0,4.0
205,MAFFRA,320,53970.0,0.0,14693.0,0.06545194010655,0.0,0.0,9.0,1.0,1.0
206,SEYMOUR,300,51936.0,0.0,6545.0,0.04182572994787,0.0,0.0,11.0,1.0,1.0
207,SHEPPARTON,300,52040.0,1.0,23307.0,0.08790615916565,0.0,0.0,23.0,2.0,5.0
208,SWAN HILL,298,54265.0,0.0,11169.0,0.08537241820557,0.0,0.0,16.0,1.0,3.0
209,TORQUAY,520,71515.0,0.0,21334.0,0.03008079815042,0.0,0.0,23.0,0.0,1.0
210,TRARALGON,330,66226.0,1.0,28735.0,0.06545194010655,0.0,0.0,20.0,1.0,2.0
212,WARRAGUL,373,58776.0,0.0,23080.0,0.0553033094728099,0.0,0.0,20.0,1.0,5.0
214,WODONGA,340,56835.0,4.0,22915.0,0.0294693225507399,0.0,0.0,12.0,2.0,4.0
