,SA2,2005_income,2006_income,2007_income,2008_income,2009_income
1351,315011395,27894,29479,28665,31099,32316
1352,315011396,32076,36338,35112,37458,41641
1353,315011397,27744,29545,28719,31005,32255
1354,315011398,27890,29499,28676,31081,32303
1355,315011399,23159,25722,28314,30810,33513
1356,315011400,30215,31828,31552,33339,33436
1357,315011401,30284,32132,33728,36395,36486
1358,315011402,30291,32146,33735,36408,36501
1359,315011403,48554,53501,54853,58346,58958
1360,315021404,31847,34490,34074,36946,37332
1361,315021405,46948,52273,55665,57667,58020
1362,315021406,44177,48340,51533,49957,54363
1363,315021407,27237,34953,32848,30768,36046
1364,315031408,32459,34798,34234,34218,33639
1365,315031409,32442,33461,33028,36207,35970
1366,315031410,37425,39262,38476,36902,38331
1367,315031411,28510,30763,35499,36806,36339
1368,315031412,32710,35387,38873,38879,40690
1369,316011413,36746,40339,40400,43894,44501
1370,316011414,36746,40333,40399,43892,44502
1371,316011415,34615,37348,38073,38845,40328
1372,316011416,36740,40322,40391,43884,44495
1373,316021417,33793,35751,35934,37632,38882
1374,316021418,35804,39574,40535,42309,43501
1375,316021419,33796,35746,35934,37635,38887
1376,316021420,33795,35751,35933,37630,38884
1377,316021421,33790,35754,35936,37632,38882
1378,316021422,33790,35748,35936,37627,38883
1379,316021423,35807,39573,40533,42313,43508
1380,316021424,35796,39558,40520,42296,43481
1381,316031425,33562,36175,36724,37825,40168
1382,316031426,33096,35478,36575,38010,39122
1383,316031427,32858,34719,35101,37016,37395
1384,316031428,35872,38613,40133,40928,41932
1385,316041429,31697,34099,34826,36550,37716
1386,316041430,33147,35028,36071,38138,39320
1387,316041431,32143,34606,35054,36679,37810
1388,316041432,32061,34349,35135,36976,38146
1389,316041433,30962,33422,33768,35192,36507
1390,316051434,38485,41950,41025,42026,42327
1391,316051435,35242,38452,35770,37665,38769
1392,316051436,33560,36178,36726,37824,40169
1393,316051437,38496,41941,41035,42019,42336
1394,316051438,29306,31833,31644,32410,34006
1395,316061439,29881,32554,34966,35740,35987
1396,316061440,31656,32979,31148,32588,33947
1397,316061441,46721,33524,35799,36484,37649
1398,316061442,31535,34296,36421,38371,39556
1399,316061443,30645,33393,34419,35653,36634
1400,316061444,32258,35486,36178,37697,39506
1401,317011445,34114,36712,37971,40095,41422
1402,317011446,36089,38312,39222,41216,42797
1403,317011447,36086,38311,39227,41214,42793
1404,317011448,30101,32623,32953,33934,34878
1405,317011449,34472,36904,38164,40187,42111
1406,317011450,35199,37522,38666,41233,43045
1407,317011451,31875,34350,35090,37171,38479
1408,317011452,36084,38308,39220,41217,42799
1409,317011453,36085,38314,39224,41211,42797
1410,317011454,36085,38317,39222,41218,42801
1411,317011455,36090,38315,39225,41212,42793
1412,317011456,36088,38311,39224,41214,42792
1413,317011457,36090,38314,39227,41211,42793
1414,317011458,36079,38301,39219,41216,42801
1415,317011459,36088,38312,39223,41213,42794
1416,318011460,39059,42984,40333,42283,43503
1417,318011461,37610,41873,39284,40496,43655
1418,318011462,37895,38991,40029,40907,41366
1419,318011463,37736,39331,40124,41054,41715
1420,318011464,38700,39197,36275,39060,43445
1421,318011465,38682,39187,36281,39057,43426
1422,318011466,36448,39217,39178,39747,40650
1423,318021467,40235,42839,44126,47274,48597
1424,318021468,40224,42828,44119,47268,48594
1425,318021469,48856,51575,52447,54233,55699
1426,318021470,40672,42847,44595,47155,48189
1427,318021471,36717,38590,40231,42899,43556
1428,318021472,40228,42832,44115,47272,48591
1429,318021473,40475,43760,45958,48085,49619
1430,318021474,40232,42828,44116,47261,48593
1431,318021475,45887,48560,49630,51894,53336
1432,318021476,39534,42152,43684,46259,47764
1433,318021477,40226,42832,44123,47266,48602
1434,318021478,39251,41870,43509,45841,47409
1435,318021479,39240,41861,43500,45819,47386
1436,318021480,36689,38566,40195,42872,43525
1437,318021481,40671,42840,44580,47142,48192
1438,318021482,40669,42844,44578,47149,48195
1439,318021483,34053,35465,36110,36772,37762
1440,318021484,40233,42842,44152,47284,48615
1441,318021485,39256,41865,43505,45829,47383
1442,318021486,39524,42709,44488,46376,47976
1443,318021487,38203,41250,42668,45881,48027
1444,318021488,48867,51575,52449,54238,55686
1445,318021489,37161,39957,40156,41099,42225
1446,318021490,48865,51580,52448,54228,55694
1447,318021491,38196,41237,42660,45865,48019
1448,319011492,32041,34142,34231,35449,37929
1449,319011493,32045,34146,34229,35450,37926
1450,319011494,32045,34139,34228,35452,37929
1451,319011495,32041,34152,34233,35454,37931
1452,319011496,32044,34154,34229,35448,37928
1453,319011497,32044,34151,34228,35453,37931
1454,319011498,31376,33385,33475,35086,37346
1455,319011499,28918,31418,30879,32266,33651
1456,319011500,32043,34146,34229,35450,37922
1457,319011501,32047,34145,34232,35456,37931
1458,319011502,32044,34145,34231,35450,37927
1459,319021503,27759,29101,28584,28915,30446
1460,319021504,25473,27802,26676,28557,29970
1461,319021505,32814,34697,34912,37762,39452
1462,319021506,25619,26623,27556,30586,30935
1463,319021507,32554,34278,34548,37470,38859
1464,319021508,26465,26267,28248,29398,28788
1465,319021509,31621,33130,33433,35988,36972
1466,319021510,-,20732,24230,22909,-
1467,319031511,26606,28962,28309,29642,30295
1468,319031512,29792,30965,32008,33341,34610
1469,319031513,29791,30969,32002,33339,34607
1470,319031514,29835,31056,32108,33403,34671
1471,319031515,26892,26935,28709,29960,30603
1472,319041516,30556,32451,32694,34377,35579
1473,319041517,30550,32450,32700,34388,35586
1474,319041518,30553,32447,32694,34385,35583
1475,319041519,30557,32444,32700,34390,35589
1476,319041520,30550,32450,32692,34387,35584
1477,319041521,30553,32453,32696,34386,35584
1478,319051522,28254,29859,30140,31582,32947
1479,319051523,31228,33449,33759,35503,36873
1480,319051524,31232,33450,33752,35498,36866
1481,319051525,30689,32575,33050,34750,35671
1482,319051526,31232,33448,33751,35497,36871
1483,399999999,40072,43073,37150,43650,44420
1484,401011001,48663,52560,50536,53590,55526
1485,401011002,67246,71504,70861,74547,75574
1486,401021003,37720,41271,42677,43671,45073
1487,401021004,46751,49782,51249,54077,58337
1488,401021005,38933,41378,47599,45499,47394
1489,401021006,37530,40659,42100,43287,44644
1490,401021007,36445,39073,40676,42596,44103
1491,401021008,35881,37799,39380,41030,42104
1492,401021009,34257,35559,37498,40145,40758
1493,401021010,43189,45945,48465,50474,51927
1494,401031011,54632,58462,57686,61405,63347
1495,401031012,59875,63576,62925,67149,68982
1496,401031013,57700,60819,60863,65248,65999
1497,401041014,38772,40868,41841,43807,45983
1498,401041015,34688,36182,37088,39365,40132
1499,401041016,40227,42004,43898,45400,47116
1500,401051017,53257,56172,57531,60973,62471
1501,401051018,42708,44870,46045,48506,49826
1502,401051019,49866,52635,52673,56789,60069
1503,401061020,47464,49526,50032,53008,54799
1504,401061021,43576,45738,46539,49401,50550
1505,401061022,66095,68495,68546,71452,74296
1506,401071023,50120,53222,54257,58354,60268
1507,401071024,56663,59764,60935,64847,66466
1508,402011025,37117,39365,40151,42179,43413
1509,402011026,35834,37253,38652,40905,42283
1510,402011027,33849,35132,37082,39363,39927
1511,402021028,35137,36382,37461,39378,40388
1512,402021029,32286,33520,34404,36515,37722
1513,402021030,31780,32611,33753,35433,36310
1514,402021031,30819,31726,32706,34505,35428
1515,402021032,33914,35258,36490,38297,38688
1516,402021033,35370,36692,37785,39758,40806
1517,402021034,29597,30838,31661,33886,35106
1518,402021035,33416,33509,36501,38407,38185
1519,402031036,33645,35086,36552,38659,39507
1520,402031037,34343,35802,37273,39060,40309
1521,402031038,34111,35724,37084,38931,40587
1522,402041039,-,-,-,-,-
1523,402041040,33755,34882,36272,38152,39282
1524,402041041,34586,36153,37506,39417,40259
1525,402041042,35418,37691,43194,36838,35535
1526,402041043,31760,33052,34570,36369,37151
1527,402041044,32022,33526,34804,36398,37439
1528,402041045,37428,39722,41520,44086,45423
1529,402041046,32466,33946,35244,36897,37988
1530,402041047,33975,35364,36691,38816,40100
1531,402041048,32393,34043,35340,37305,37980
1532,402051049,40690,42545,44009,46109,47811
1533,402051050,40735,42602,44055,46171,47885
1534,402051051,39036,40972,41753,43828,45427
1535,402051052,33590,35235,36383,38240,39281
1536,402051053,36495,38309,39308,41776,43141
1537,402051054,36336,38329,39858,41736,43209
1538,402051055,36336,38244,39247,41290,42642
1539,403011056,39918,42150,43263,46451,48143
1540,403011057,46180,50245,50148,52478,53380
1541,403021058,34911,36914,38485,40714,41362
1542,403021059,36315,37967,39297,41316,42877
1543,403021060,38825,40862,41117,44637,46795
1544,403021061,33562,35185,36153,38049,39468
1545,403021062,37763,40540,41781,43589,44654
1546,403021063,36296,37946,39283,41296,42850
1547,403021064,35031,36943,38297,40689,42047
1548,403031065,44175,46453,47168,50553,53177
1549,403031066,40016,41844,41464,44078,45599
1550,403031067,41811,43508,45158,47882,50283
1551,403031068,40735,42862,44793,47539,48897
1552,403031069,56173,60302,59837,63241,65418
