,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
178,19928,Westgarth Railway Station (Northcote),-37.780621,144.999233,1,Hurstbridge,POINT (144.99923292 -37.78062102)
179,19929,Dennis Railway Station (Northcote),-37.779187,145.008242,1,Hurstbridge,POINT (145.00824192 -37.77918696)
180,19930,Fairfield Railway Station (Fairfield),-37.779171,145.016905,1,Hurstbridge,POINT (145.01690496 -37.77917103)
181,19931,Alphington Railway Station (Alphington),-37.778394,145.031255,1,Hurstbridge,POINT (145.03125492 -37.77839397)
182,19932,Darebin Railway Station (Ivanhoe),-37.774963,145.038476,1,Hurstbridge,POINT (145.03847616 -37.77496298999989)
183,19933,Ivanhoe Railway Station (Ivanhoe),-37.768897,145.045425,"1,2",Hurstbridge,POINT (145.04542488 -37.76889699)
184,19934,Eaglemont Railway Station (Eaglemont),-37.763586,145.053943,"1,2",Hurstbridge,POINT (145.05394284 -37.763586)
185,19935,Heidelberg Railway Station (Heidelberg),-37.757073,145.060686,"1,2",Hurstbridge,POINT (145.060686 -37.75707297)
186,19936,Rosanna Railway Station (Rosanna),-37.742879,145.06614,2,Hurstbridge,POINT (145.06614 -37.74287898)
187,19937,Moorabbin Railway Station (Moorabbin),-37.934353,145.036738,2,Frankston,POINT (145.03673808 -37.93435299)
188,19938,Patterson Railway Station (Bentleigh),-37.925149,145.03547,2,Frankston,POINT (145.03547016 -37.92514896)
189,19939,Bentleigh Railway Station (Bentleigh),-37.917425,145.036995,"1,2",Frankston,POINT (145.03699512 -37.91742498)
190,19940,McKinnon Railway Station (Mckinnon),-37.910309,145.038299,"1,2",Frankston,POINT (145.03829904 -37.91030904)
191,19941,Ormond Railway Station (Ormond),-37.903212,145.039613,"1,2",Frankston,POINT (145.03961304 -37.903211999999996)
192,19942,Glenhuntly Railway Station (Glen Huntly),-37.889719,145.042223,1,Frankston,POINT (145.04222304 -37.88971902)
193,19943,Caulfield Railway Station (Caulfield East),-37.877459,145.042525,1,"Frankston,Pakenham,Cranbourne",POINT (145.04252508 -37.87745904)
194,19944,Malvern Railway Station (Malvern),-37.866253,145.029294,1,Frankston,POINT (145.029294 -37.86625296)
195,19945,Armadale Railway Station (Armadale),-37.856452,145.019326,1,Frankston,POINT (145.01932596 -37.85645196)
196,19946,Toorak Railway Station (Armadale),-37.850774,145.013909,1,Frankston,POINT (145.01390904 -37.85077404)
197,19947,Hawksburn Railway Station (South Yarra),-37.844591,145.002142,1,Frankston,POINT (145.00214208 -37.84459104)
198,19948,Sandringham Railway Station (Sandringham),-37.95033,145.004561,2,Sandringham,POINT (145.00456092 -37.95032997)
199,19949,Hampton Railway Station (Hampton),-37.937977,145.001471,2,Sandringham,POINT (145.00147104 -37.93797702)
200,19950,Brighton Beach Railway Station (Brighton),-37.926484,144.989154,"1,2",Sandringham,POINT (144.98915399999998 -37.92648402)
201,19951,Middle Brighton Railway Station (Brighton),-37.915134,144.996299,"1,2",Sandringham,POINT (144.99629892 -37.91513403)
202,19952,North Brighton Railway Station (Brighton),-37.904887,145.002605,"1,2",Sandringham,POINT (145.00260504 -37.90488699)
203,19953,Gardenvale Railway Station (Brighton),-37.896695,145.004168,1,Sandringham,POINT (145.00416816 -37.89669501)
204,19954,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898,1,Sandringham,POINT (145.00089792 -37.884752999999996)
205,19955,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,1,Sandringham,POINT (144.99523692 -37.875906)
206,19956,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1,Sandringham,POINT (144.99351216 -37.86948801)
207,19957,Windsor Railway Station (Windsor),-37.856053,144.992035,1,Sandringham,POINT (144.99203508 -37.85605299)
208,19958,Prahran Railway Station (Prahran),-37.849518,144.98986,1,Sandringham,POINT (144.98985996 -37.849517999999996)
209,19959,South Yarra Railway Station (South Yarra),-37.838449,144.992342,1,"Frankston,Pakenham,Sandringham,Cranbourne",POINT (144.99234216 -37.83844899)
210,19960,Upfield Railway Station (Coolaroo),-37.666078,144.94674,2,Upfield,POINT (144.94673988 -37.66607802)
211,19961,Gowrie Railway Station (Glenroy),-37.700678,144.958874,2,Upfield,POINT (144.95887404 -37.70067798)
212,19962,Fawkner Railway Station (Fawkner),-37.714621,144.960545,"1,2",Upfield,POINT (144.96054516 -37.71462096)
213,19963,Merlynston Railway Station (Coburg North),-37.720934,144.961314,"1,2",Upfield,POINT (144.96131412 -37.72093401)
214,19964,Batman Railway Station (Coburg North),-37.733523,144.962841,"1,2",Upfield,POINT (144.96284088 -37.73352303)
215,19965,Coburg Railway Station (Coburg),-37.742345,144.963336,1,Upfield,POINT (144.96333588 -37.74234501)
216,19966,Moreland Railway Station (Coburg),-37.754485,144.961823,1,Upfield,POINT (144.96182316 -37.75448502)
217,19967,Anstey Railway Station (Brunswick),-37.761242,144.960684,1,Upfield,POINT (144.96068412 -37.76124204)
218,19968,Brunswick Railway Station (Brunswick),-37.767721,144.959587,1,Upfield,POINT (144.95958684 -37.76772096)
219,19969,Jewell Railway Station (Brunswick),-37.774987,144.958717,1,Upfield,POINT (144.95871708 -37.77498702)
